"","Limit_Outdoor_Active","Limit_Exercise_Home","Limit_Exercise_Gym","Limit_People","Limit_Groups","Limit_Travel","Health_General","COVID_Worry","COVID_Too_Much_Time","COVID_Lot_Time","COVID_Afraid","COVID_Irritable","COVID_Guilty","COVID_Sad","COVID_Preoccupied","COVID_Stressed","Hrs_Screen","Hrs_Outdoor","Hrs_Exercise","Educ_Mom","Educ_Dad","Educ_Self","Income_Relative","Class_Self","Class_Mom","Class_Dad","Park_Use","Infected_Any","Female","BMI","Educ_College_Grad","ResponseId","Age","Source","GIS_ZIP","Ethnoracial_Group","COVID_F2_LostTime","COVID_F1_BadMoods","Type","Classification","Classification_High","Ethnoracial_Group_f","NHWhite_f","Ethnoracial_Group_White1_Asian2","Age_3Groups","Age_18to25","Source_NCSU","Class_Self_group","Class_Mom_group","Class_Dad_group","Income_Relative_group","Educ_Mom_group","Educ_Dad_group","Health_General_group","BMI_group","Hrs_Outdoor_group","Hrs_Screen_group","Hrs_Exercise_group"
"1536",3,1,5,5,5,5,3,3,5,5,75.35,100,19.44,67.32,20.7,71.13,12,2.5,1,6,7,5,5,1,4,4,2,0,1,21.6328924965542,1,"R_3PSt2z1eAwcZlqi","18 to 24","NCState",27513,"NHAsian",0.118794674851013,0.322828275814981,"3","High",1,"NHAsian","0","2","18 to 24","1","1",1,3,3,3,2,5,2,2,3,2,3
"1537",3,3,4,4,4,4,3,5,2,3,67.91,63.28,13.79,53.67,18.08,58.31,5,1,0.5,6,3,3,2,1,3,1,3,0,0,21.1092214265494,0,"R_3jVUYwKXMCtuT8d","18 to 24","NCState",27549,"NHWhite",-0.443528973897368,-0.211276513869571,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",1,2,1,1,2,1,2,2,2,1,1
"1538",5,2,5,5,5,5,2,6,5,6,83.23,100,33.87,81.61,100,100,9,1.2,1,2,5,4,3,2,4,3,3,0,1,19.9357941248964,0,"R_2f9HAFJNt03K8dL","18 to 24","NCState",27606,"NHWhite",0.910559505347963,1.30258431445149,"3","High",1,"NHWhite","1","1","18 to 24","1","1",1,3,2,2,1,2,1,2,2,2,3
"1539",5,2,5,5,5,5,1,5,5,5,88.39,94.19,60.32,83.87,100,100,7.1,2.3,2,6,2,6,3,2,3,3,2,1,1,21.7428347486453,0,"R_2cCl1egV7X180Yg","18 to 24","NCState",27513,"NHWhite",0.519421522595107,1.31594400711888,"3","High",1,"NHWhite","1","1","18 to 24","1","1",1,2,2,2,2,1,1,2,3,1,3
"1540",5,1,5,5,5,5,3,5,5,6,22.82,65.49,0,75.35,59.86,29.44,11,0,0.3,3,7,5,2,3,4,4,3,0,0,22.2399379492637,1,"R_3FWYAjqtntoeozV","25 to 32","NCState",27603,"NHWhite",0.710246081475916,-0.270543271268421,"3","High",1,"NHWhite","1","1","25 to 32","0","1",2,3,3,1,1,5,2,2,1,2,1
"1541",4,3,5,5,5,5,3,6,6,6,68.06,68.71,48.39,79.68,70.97,79.68,8,0.5,0.5,6,7,3,5,4,3,5,2,0,1,22.7099589864138,0,"R_1FLkWNHW6LTCOLc","18 to 24","NCState",27613,"NHWhite",1.10432663159158,0.581712160422427,"3","High",1,"NHWhite","1","1","18 to 24","1","1",3,2,3,3,2,5,2,2,1,2,1
"1542",2,1,5,5,5,5,5,3,5,2,4.9,70.68,0,38.99,81.24,28.7,9,1,1.5,5,6,6,4,3,3,3,4,0,0,21.8264665893831,0,"R_3EthaauCoNqpQNr","25 to 32","NCState",27606,"NHWhite",-0.453679001791414,-0.47996184204873,"1","Med",0,"NHWhite","1","1","25 to 32","0","1",2,2,2,3,2,5,2,2,2,2,3
"1543",4,1,5,3,5,4,4,2,2,1,31.23,49.4526245906572,36.68,72.49,42.98,40.4,5,2,1,5,5,3,4,3,3,3,4,0,0,25.1043333424621,0,"R_1FJNkStOHL4tPD3","18 to 24","NCState",27101,"NHWhite",-1.42611836327513,-0.387833815817376,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",2,2,2,3,2,2,2,3,3,1,3
"1544",5,2,5,5,5,5,4,5,6,6,29.3,38.59,9.01,61.83,69.15,60.42,10,2,1,1,1,6,3,3,1,1,1,0,1,28.1916732245137,0,"R_3FVt0sg4UIXXiIg","25 to 32","NCState",27713,"NHWhite",0.904013207719535,-0.209502680320365,"3","High",1,"NHWhite","1","1","25 to 32","0","1",2,1,1,2,1,1,2,3,3,2,3
"1545",5,1,5,5,5,5,4,5,4,5,60.14,0,0,60,60.14,59.72,8,0.5,0.512152565538136,5,5,3,5,4,4,4,3,1,1,18.8387376774754,0,"R_d9XKME7guhL2CU9","18 to 24","NCState",28401,"NHWhite",0.325654396351488,-0.344114838736897,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",3,3,3,3,2,2,2,2,1,2,2
"1546",5,2,5,5,5,5,4,5,2,2,78.8,94.56,5.16,95.99,39.26,68.77,3,0.1,0.5,4,6,5,2,3,3,3,1,0,1,21.1437189632873,1,"R_1n76ICmOzQOffcP","18 to 24","NCState",27606,"NHAsian",-0.634353532778177,0.644068839729233,"1","Med",0,"NHAsian","0","2","18 to 24","1","1",2,2,2,1,1,5,2,2,1,1,1
"1547",5,5,5,5,5,5,2,6,6,6,100,100,71.41,100,82.11,100,12,0.1,0.1,3,3,6,1,2,2,2,1,0,0,23.3322627535824,0,"R_1OTbyOxZZNW36DO","25 to 32","NCState",27606,"NHAsian",1.10432663159158,1.42767303015794,"3","High",1,"NHAsian","0","2","25 to 32","0","1",1,1,1,1,1,1,1,2,1,2,1
"1548",5,1,5,5,5,5,4,5,2,5,94.84,0,0,73.64,58.45,74.21,5.9,0.5,1,5,5,3,2,4,4,4,3,0,1,18.6008149661959,0,"R_rdtcyVhqaZHO1H3","18 to 24","NCState",27603,"NHWhite",-0.0618798561357499,0.10925332536869,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",3,3,3,1,2,2,2,2,1,1,3
"1549",3,1,5,4,5,5,4,4,6,3,60.7,91.27,8.45,81.27,81.27,70.99,12,0.5,1,5,6,5,2,1,4,4,3,1,0,23.4930610204281,1,"R_1odTeMlWPKYSJ0V","25 to 32","NCState",27713,"NHWhite",0.131226107205061,0.711389972775384,"3","High",1,"NHWhite","1","1","25 to 32","0","1",1,3,3,1,2,5,2,2,1,2,3
"1550",4,2,5,4,5,5,3,3,2,2,47.42,73.55,0,29.03,31.61,27.42,6.2,1.9,1.9,5,5,3,4,4,4,1,3,1,0,31.3240813605708,0,"R_1K26bjDup4xNBns","18 to 24","NCState",28403,"NHWhite",-1.03498038052227,-0.60439553872974,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",3,3,1,3,2,2,2,4,2,1,3
"1551",4,1,5,5,5,5,2,2,2,2,49.44,80.42,0,51.97,6.34,70.7,5.1,0.7,0,1,5,5,2,2,1,2,2,0,1,21.7893287026243,1,"R_24je3Q1QSUENCTf","18 to 24","NCState",27606,"NHWhite",-1.23529380439432,-0.231909027038197,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",1,1,1,1,1,2,1,2,1,1,1
"1552",5,3,5,5,5,5,2,6,5,5,64.18,76.5,5.16,32.09,76.79,100,10.5,1.8,0.5,6,2,3,1,1,2,2,5,1,1,21.1336719004799,0,"R_3dLY0XJHmY8rxxp","18 to 24","NCState",27603,"NHBlack",0.719734946467154,0.453322459156474,"3","High",1,"NHBlack","0","0","18 to 24","1","1",1,1,1,1,2,1,1,2,2,2,1
"1553",5,2,5,5,5,5,4,6,5,2,50.99,9.3,3.8,60.99,5.07,82.25,12,0,1,3,3,6,3,3,3,3,1,0,1,20.279617988477,0,"R_3nSGP0a6Upqpoq5","25 to 32","NCState",94066,"NHAsian",0.147261269824727,-0.581083033069856,"1","Med",0,"NHAsian","0","2","25 to 32","0","1",2,2,2,2,1,1,2,2,1,2,3
"1554",2,1,5,4,5,4,2,4,5,6,62.39,60.85,61.55,65.07,63.24,69.01,8.1,1.2,0.5,5,3,3,4,3,3,3,2,0,1,16.6272702338471,0,"R_294jejdNA0unBLd","18 to 24","NCState",28277,"NHWhite",0.509932657603869,0.236550587997581,"3","High",1,"NHWhite","1","1","18 to 24","1","1",2,2,2,3,2,1,1,1,2,2,1
"1555",2,3,1,5,5,5,2,6,4,4,60,71.27,30.14,62.11,51.41,61.41,9.2,0,0.6,4.47334784382968,3.85417340726831,3.34648611520736,3.24854923618216,2.82411169466509,2.92764126183978,3.02925222384786,1,0,0,29.4141114812842,0,"R_111vQJCMClPI0y1","25 to 32","NCState",NA,NA,0.335143261342726,0.124406932573262,"3","High",1,NA,NA,NA,"25 to 32","0","1",1,1,3,3,1,1,1,3,1,2,2
"1556",4,5,5,4,5,5,3,2,2,2,9.44,91.41,14.65,57.18,65.77,70.28,12,0,0,6,6,5,4,3,4,2,3,0,0,32.7800499196677,1,"R_2BrFyuanBYlNyKo","18 to 24","NCState",27607,"NHWhite",-1.23529380439432,0.0351271364585987,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",2,3,1,3,2,5,2,4,1,2,1
"1557",1,2,5,3,3,4,4,4,3,4,40.28,66.34,30.56,50.56,90.42,80.99,12,2.5,1,6,6,6,5,4,5,4,4,0,1,21.0920701841404,0,"R_1OTEi4y7Zfj07RZ","25 to 32","NCState",27601,"NHAsian",-0.259250712644987,0.300942367930938,"1","Med",0,"NHAsian","0","2","25 to 32","0","1",3,3,3,3,2,5,2,2,3,2,3
"1558",4,2,3,4,5,4,2,2,2,3,37.54,33.81,18.91,38.97,60.46,78.51,9,2,1,5,7,3,3,3,3,4,3,0,0,30.1718802853238,0,"R_3kk2L3ugwkaTIot","18 to 24","NCState",27828,"NHWhite",-1.04446924551351,-0.280748860744098,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",2,2,3,2,2,5,1,4,3,2,3
"1559",4,5,5,5,5,5,4,6,6,6,79.86,30.14,15.07,70,9.72,85.49,4.5,2.5,0,2,5,3,4,1,2,4,3,0,0,19.9357941248964,0,"R_2SCzufXBdRbEcXB","18 to 24","NCState",27605,"NHWhite",1.10432663159158,-0.0944434463724332,"3","High",1,"NHWhite","1","1","18 to 24","1","1",1,1,3,3,1,2,2,2,3,1,1
